# corpus prefix stripped from every path: /nas3/data/axeyum/corpus/smtlib-2024/non-incremental/non-incremental/
# F	<file>	<verdict>	<give-up detail>
# C	<file>	<repeat count>	<DTARG-CENSUS line>
F	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__pledge_for_traversal__traversal_funcs.adb_43_17_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__pledge_for_traversal__traversal_funcs.adb_43_17_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__pledge_for_traversal__traversal_funcs.adb_43_17_precondition___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__pledge_for_traversal__traversal_funcs.adb_43_17_precondition___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=1 dt_result_inexact=0 args=8 sym_exact=6 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__pledge_for_traversal__traversal_funcs.adb_43_17_precondition___00.smt2	2	DTARG-CENSUS pairs=2467 dt_result=2 dt_result_inexact=0 args=272 sym_exact=201 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=59 apply_inexact=0 other=12 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__pledge_for_traversal__traversal_funcs.adb_43_17_precondition___00.smt2	2	DTARG-CENSUS pairs=69 dt_result=1 dt_result_inexact=0 args=27 sym_exact=24 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=3 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__pledge_for_traversal__traversal_funcs.adb_43_17_precondition___00.smt2	4	DTARG-CENSUS pairs=9 dt_result=1 dt_result_inexact=0 args=15 sym_exact=12 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=3 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S415-012__pledge_for_traversal__traversal_funcs.adb_43_17_precondition___00.smt2	4	DTARG-CENSUS pairs=90 dt_result=1 dt_result_inexact=0 args=21 sym_exact=19 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/S510-037__init_by_proof__aa.adb_21_17_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/S606-038__flow_loop_return__p.adb_15_13_dead_code___00.smt2	unknown	give-up kind=Incomplete detail=instantiation is satisfiable; the universal may still be violated outside the instantiated terms
F	UFDTLIRA/20200306-Kanig/spark2014bench/S619-026__equality__a-cofuve.ads_237_63_a-cofove.ads_87_7_prim_eq_vect.adb_6_4_range_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/S702-024__record_attributes_in_allocators__test_tag.adb_16_24_null_pointer_dereference___00.smt2	unsat	none
C	UFDTLIRA/20200306-Kanig/spark2014bench/S702-024__record_attributes_in_allocators__test_tag.adb_16_24_null_pointer_dereference___00.smt2	2	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_16_34_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_16_34_null_pointer_dereference___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_16_34_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_16_34_null_pointer_dereference___00.smt2	16	DTARG-CENSUS pairs=10 dt_result=0 dt_result_inexact=0 args=5 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_16_34_null_pointer_dereference___00.smt2	12	DTARG-CENSUS pairs=15 dt_result=0 dt_result_inexact=0 args=6 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=4 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S708-039__pointer_search__binary_search_trees.adb_16_34_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=3 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/S716-015__old_counterex__show_failed_proof_attempt.adb_21_17_overflow_check___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/S730-045__dic_with_discrs__use_test.adb_4_4_default_initial_condition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: term #1399 has sort (Uninterpreted 4) that the pure-Rust BV backend cannot bit-blast
C	UFDTLIRA/20200306-Kanig/spark2014bench/S730-045__dic_with_discrs__use_test.adb_4_4_default_initial_condition___00.smt2	24	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/S903-010__flow_eq__x.adb_210_19_assert___00.smt2	unsat	none
F	UFDTLIRA/20200306-Kanig/spark2014bench/S909-022__traversal__traversals.adb_34_14_postcondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/S909-022__traversal__traversals.adb_34_14_postcondition___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S909-022__traversal__traversals.adb_34_14_postcondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S909-022__traversal__traversals.adb_34_14_postcondition___00.smt2	8	DTARG-CENSUS pairs=2 dt_result=0 dt_result_inexact=0 args=6 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=6 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S909-022__traversal__traversals.adb_34_14_postcondition___00.smt2	2	DTARG-CENSUS pairs=51 dt_result=0 dt_result_inexact=0 args=27 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=7 other=20 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S909-022__traversal__traversals.adb_34_14_postcondition___00.smt2	2	DTARG-CENSUS pairs=8 dt_result=0 dt_result_inexact=0 args=10 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=10 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S909-022__traversal__traversals.adb_34_14_postcondition___00.smt2	4	DTARG-CENSUS pairs=9 dt_result=0 dt_result_inexact=0 args=7 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=7 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/S918-060__binary_search__binary_search_trees.adb_26_15_predicate_check___00.smt2	28	DTARG-CENSUS pairs=1 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: `is`/`select` over a non-variable datatype term (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2	8	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2	4	DTARG-CENSUS pairs=3 dt_result=0 dt_result_inexact=0 args=3 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2	6	DTARG-CENSUS pairs=6 dt_result=0 dt_result_inexact=0 args=9 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA10-028__old_in_pledge__traverse_list.adb_19_18_contract_case___00.smt2	2	DTARG-CENSUS pairs=9 dt_result=0 dt_result_inexact=0 args=11 sym_exact=8 sym_inexact=0 ctor_exact=0 ctor_inexact=1 apply_exact=0 apply_inexact=2 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/SA17-025__separate__pack.adb_12_22_assert___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA17-025__separate__pack.adb_12_22_assert___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=1 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA17-025__separate__pack.adb_12_22_assert___00.smt2	14	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=0 sym_inexact=0 ctor_exact=2 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=1 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA17-025__separate__pack.adb_12_22_assert___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=2 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
F	UFDTLIRA/20200306-Kanig/spark2014bench/SA23-039__goto__test_goto_borrow.adb_45_17_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA23-039__goto__test_goto_borrow.adb_45_17_null_pointer_dereference___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA23-039__goto__test_goto_borrow.adb_45_17_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA23-039__goto__test_goto_borrow.adb_45_17_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=211 dt_result=0 dt_result_inexact=0 args=51 sym_exact=32 sym_inexact=0 ctor_exact=10 ctor_inexact=6 apply_exact=0 apply_inexact=0 other=3 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA23-039__goto__test_goto_borrow.adb_45_17_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=358 dt_result=0 dt_result_inexact=0 args=53 sym_exact=28 sym_inexact=0 ctor_exact=12 ctor_inexact=6 apply_exact=0 apply_inexact=3 other=4 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA23-039__goto__test_goto_borrow.adb_45_17_null_pointer_dereference___00.smt2	16	DTARG-CENSUS pairs=9 dt_result=0 dt_result_inexact=0 args=8 sym_exact=0 sym_inexact=0 ctor_exact=4 ctor_inexact=3 apply_exact=0 apply_inexact=0 other=1 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SA23-039__goto__test_goto_borrow.adb_45_17_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=980 dt_result=0 dt_result_inexact=0 args=96 sym_exact=44 sym_inexact=0 ctor_exact=12 ctor_inexact=6 apply_exact=0 apply_inexact=3 other=31 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/SB05-027__pledge__test_list.adb_30_20_null_pointer_dereference___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function whose RESULT sort mentions a datatype (its Ackermann witness would itself be a datatype-sorted term) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB05-027__pledge__test_list.adb_30_20_null_pointer_dereference___00.smt2	3	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB05-027__pledge__test_list.adb_30_20_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB05-027__pledge__test_list.adb_30_20_null_pointer_dereference___00.smt2	8	DTARG-CENSUS pairs=1276 dt_result=1 dt_result_inexact=0 args=59 sym_exact=2 sym_inexact=0 ctor_exact=4 ctor_inexact=24 apply_exact=2 apply_inexact=27 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB05-027__pledge__test_list.adb_30_20_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=1277 dt_result=1 dt_result_inexact=0 args=63 sym_exact=5 sym_inexact=0 ctor_exact=5 ctor_inexact=24 apply_exact=2 apply_inexact=27 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB05-027__pledge__test_list.adb_30_20_null_pointer_dereference___00.smt2	16	DTARG-CENSUS pairs=171 dt_result=1 dt_result_inexact=0 args=27 sym_exact=1 sym_inexact=0 ctor_exact=5 ctor_inexact=19 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB05-027__pledge__test_list.adb_30_20_null_pointer_dereference___00.smt2	4	DTARG-CENSUS pairs=173 dt_result=1 dt_result_inexact=0 args=31 sym_exact=5 sym_inexact=0 ctor_exact=5 ctor_inexact=19 apply_exact=2 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/SB18-020__route_shift__test_route.adb_46_15_precondition___00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB18-020__route_shift__test_route.adb_46_15_precondition___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB18-020__route_shift__test_route.adb_46_15_precondition___00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB18-020__route_shift__test_route.adb_46_15_precondition___00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=1 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB18-020__route_shift__test_route.adb_46_15_precondition___00.smt2	6	DTARG-CENSUS pairs=11 dt_result=0 dt_result_inexact=0 args=8 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=4 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB18-020__route_shift__test_route.adb_46_15_precondition___00.smt2	8	DTARG-CENSUS pairs=2 dt_result=0 dt_result_inexact=0 args=5 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=3 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SB18-020__route_shift__test_route.adb_46_15_precondition___00.smt2	6	DTARG-CENSUS pairs=38 dt_result=0 dt_result_inexact=0 args=17 sym_exact=4 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=2 other=11 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_11e0ba_binary_search-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_11e0ba_binary_search-T-defqtvc__00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_11e0ba_binary_search-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_11e0ba_binary_search-T-defqtvc__00.smt2	8	DTARG-CENSUS pairs=16 dt_result=0 dt_result_inexact=0 args=8 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=8 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_11e0ba_binary_search-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=234 dt_result=0 dt_result_inexact=0 args=25 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=3 other=20 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_11e0ba_binary_search-T-defqtvc__00.smt2	2	DTARG-CENSUS pairs=249 dt_result=0 dt_result_inexact=0 args=31 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=3 other=26 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_11e0ba_binary_search-T-defqtvc__00.smt2	2	DTARG-CENSUS pairs=43 dt_result=0 dt_result_inexact=0 args=14 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=12 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
C	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_11e0ba_binary_search-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=81 dt_result=0 dt_result_inexact=0 args=18 sym_exact=2 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=16 other_kinds=DtSelect ELIGIBLE=0 ELIGIBLE_B=0
F	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_61039b_binary_search-T-defqtvc__00.smt2	unknown	give-up kind=Incomplete detail=mbqi declined an unsupported fragment: an uninterpreted function applied to a datatype term that is not a free variable (constructors should fold first) (ADR-0022)
C	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_61039b_binary_search-T-defqtvc__00.smt2	1	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=0 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=0 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=1
C	UFDTLIRA/20200306-Kanig/spark2014bench/SC03-021__binary_search_trees__why_61039b_binary_search-T-defqtvc__00.smt2	4	DTARG-CENSUS pairs=0 dt_result=0 dt_result_inexact=0 args=1 sym_exact=0 sym_inexact=0 ctor_exact=0 ctor_inexact=0 apply_exact=0 apply_inexact=1 other=0 other_kinds=- ELIGIBLE=0 ELIGIBLE_B=0
